ID,URL,ชื่ออาคาร,ราคาค่าเช่า,ที่อยู่,จำนวนชั้น,รวมพื้นที่เช่าทั้งหมด,Lat,Lon,Remark
69,https://www.cbre.co.th/th/rent/ari-hills,อารีย์ ฮิลล์,,,34 ชั่น,"11,000 ตร.ม.",13.784508,100.54659,
70,https://www.cbre.co.th/th/rent/airport-business-park,แอร์พอร์ต บิซิเนส พาร์ค,500 - 590 บาท,ถนนมหิดล ต.หายยา อ.เมือง จ.เชียงใหม่ 50100,"4 ชั้น (อาคารเอ), 6 ชั้น (อาคารบี), 3 ชั้น (อาคารซี), 6 ชั้น (อาคารดี)","5,060 ตร.ม.",18.772222,98.974832,
71,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-sm-tower,เอสเอ็ม ทาวเวอร์,550 บาท / ตรม. / เดือน,ถนนพหลโยธิน,35 ชั้น,"35,000 ตร.ม.",13.77106,100.540733,
72,https://www.cbre.co.th/th/rent/commercal-bangkok-office-for-rent-major-tower,เมเจอร์ ทาวเวอร์,780 บาท / ตรม. / เดือน,ถนนสุขุมวิท 55 ทองหล่อ ซอย 10,19 ชั้น,"11,618 ตร.ม.",13.73233091,100.5825457,
73,https://www.cbre.co.th/th/rent/q-house-sathorn,คิวเฮ้าส์ สาทร,750 บาท / ตรม. / เดือน,ถนนสาทร,19 ชั้ั้น,"14,000 ตร.ม.",13.724898,100.541639,
74,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-rs-tower,อาร์เอส ทาวเวอร์,500 บาท / ตรม. / เดือน,ถนนรัชดาภิเษก,41 ชั้น,"59,000 ตร.ม.",13.766621,100.56962,
75,https://www.cbre.co.th/th/rent/commercial-bangkok-the-offices-at-central-world,ดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์,"1,200 บาท / ตรม. / เดือน",แยกราชดำริ - พระราม 1,45 ชั้น,"78,000 ตร.ม.",13.745409,100.538367,
76,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-united-center,ยูไนเต็ด เซ็นเตอร์,860 - 890 บาท / ตรม. / เดือน,ถนนสีลม,50 ชั้น,"58,000 ตร.ม.",13.726503,100.531643,
77,https://www.cbre.co.th/th/rent/commercial-office-for-rent-two-pacific-place,ทู แปซิฟิค เพลส,825 บาท / ตรม. / เดือน,ถนนสุขุมวิท,30 ชั้น,"22,500 ตร.ม.",13.740591,100.554484,
78,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-thai-summit-tower,ไทยซัมมิท ทาวเวอร์,575 บาท / ตรม. / เดือน,ถนนเพชรบุรีตัดใหม่,35 ชั้น,"33,242 ตร.ม.",13.747569,100.567324,
79,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-thai-cc-tower,ไทยซีซี ทาวเวอร์,590 บาท / ตรม. / เดือน,ถนนสาทร,35 ชั้น,"55,000 ตร.ม.",13.717545,100.521668,
80,https://www.cbre.co.th/th/rent/office-for-rent-smooth-life-tower,สมูทไลฟ์ ทาวเวอร์,750 บาท / ตรม. / เดือน,ถนนสาทร,26 ชั้น,"12,295 ตร.ม.",13.724643,100.538388,
81,https://www.cbre.co.th/th/rent/silom-center,สีลม เซ็นเตอร์,"1,100 บาท / ตรม. / เดือน",หัวมุมถนนสีลม-พระราม 4 กรุงเทพฯ (ติด MRT สถานีสีลมและ BTS สถานีศาลาแดง),21 ชั้น,"21,000 ตร.ม.",13.7294424,100.5360104,
82,https://www.cbre.co.th/th/rent/commercial-bangkok-furnished-office-for-rent-ploenchit-center,เพลินจิต เซ็นเตอร์,770 - 849 บาท / ตรม. / เดือน,ถนนเพลินจิต (สุขุมวิท 2),25 ชั้น,"19,000 ตร.ม.",13.742407,100.549981,
83,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-paholyothin-place,อาคาร พหลโยธินเพลส,420 - 550 บาท / ตรม. / เดือน,ถนนพหลโยธิน,42 ชั้น,"1,300 ตร.ม.",13.78308,100.546317,
84,https://www.cbre.co.th/th/rent/mahatun-plaza,มหาทุนพลาซ่า,760 - 840 บาท / ตรม. / เดือน,ถนนเพลินจิต,18 ชั้น,"28,000 ตร.ม.",13.742465,100.548844,
85,https://www.cbre.co.th/th/rent/interchange-21-partly-fitted-office,อินเตอร์เชนจ์ 21 - ตกแต่งบางส่วน,"1,200 บาท / ตรม. / เดือน",ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ 10110,35 ชั้น,"44,000 ตร.ม.",13.73655,100.562008,
86,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-sala-at-sathorn,อาคาร แอทสาทร,650 - 700 บาท / ตรม. / เดือน,ถนนสาทร (เซนต์หลุยส์ซอย 2-3),27 ชั้น,"16,700 ตร.ม.",13.719942,100.526179,
87,https://www.cbre.co.th/th/rent/Commercial-Bangkok-Office-for-Rent-Sathorn-City-Tower,สาทร ซิตี้ ทาวเวอร์,925 บาท / ตรม. / เดือน,ถนนสาทร,31 ชั้น,"55,000 ตร.ม.",13.721938,100.531919,
88,https://www.cbre.co.th/th/rent/R008-Regus-Royal-Phuket-Marina-Centre,รีกัส รอยัล ภูเก็ต มาริน่า เซ็นเตอร์,"664 - 2,735 บาท / ตรม. / เดือน",เกาะแก้ว,,,7.966375,98.390915,ภูเก็ต
89,https://www.cbre.co.th/th/rent/commercial-bangkok-office-for-rent-u-chu-liang-building,อาคาร อื้อจือเหลียง,800 บาท / ตรม. / เดือน,ถนนพระรามสี่,38 ชั้น,"92,000 ตร.ม.",13.727103,100.540548,
90,https://www.cbre.co.th/th/rent/TP-and-T-Tower,ทีพีแอนด์ที ทาวเวอร์,300 บาท / ตรม. / เดือน,ถนนวิภาวดีรังสิต,25 ชั้น,"13,964 ตร.ม.",13.828642,100.556992,
91,https://www.cbre.co.th/th/rent/times-square,ไทมส์ สแควร์,700 บาท / ตรม. / เดือน,ถนนสุขุมวิท ซอย 12,27 ชั้น,"20,000 ตร.ม.",13.737598,100.558795,
92,https://www.cbre.co.th/th/rent/Commercial-Bangkok-Offices-for-Rent-Supalai-Grand-Tower,ศุภาลัย แกรนด์ ทาวเวอร์,450 บาท / ตรม. / เดือน,ถนนพระราม 3,34 ชั้น,"40,000 ตร.ม.",13.682902,100.547444,
